date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:21	21584/21584	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:03:12%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table	www.w3schools.com/html/tryit59fb.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:22	21670/21670	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:34:26%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_border	www.w3schools.com/html/tryit046c.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:22	21702/21702	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:08:19%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_collapse	www.w3schools.com/html/tryitf636.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:22	21779/21779	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:02:08%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_cellpadding	www.w3schools.com/html/tryit7de9.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:23	21766/21766	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:12:41%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_headings_left	www.w3schools.com/html/tryit5052.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:23	21779/21779	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:54:20%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_cellspacing	www.w3schools.com/html/tryitec91.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:23	21659/21659	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:44:35%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_colspan	www.w3schools.com/html/tryit66d3.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:23	21675/21675	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:46:42%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_rowspan	www.w3schools.com/html/tryit914a.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:24	21669/21669	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:25:56%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_tables2	www.w3schools.com/html/tryitaabb.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:24	22164/22164	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2005:54:26%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_id1	www.w3schools.com/html/tryitdc1a.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:24	22297/22297	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:29:52%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_table_id2	www.w3schools.com/html/tryitdfb2.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:25	76852/76852	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:25%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_tables1	www.w3schools.com/html/exercise1175.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:26	76816/76816	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:25%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_tables2	www.w3schools.com/html/exercise87e9.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:27	76926/76926	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:26%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_tables3	www.w3schools.com/html/exercise779e.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:27	75672/75672	---M--	200	added ('OK')	image/jpeg	etag:%22576622f499cacf1:0%22	http://www.w3schools.com/html/pic_mountain.jpg	www.w3schools.com/html/pic_mountain.jpg	(from http://www.w3schools.com/html/html_images.asp)
13:10:27	77828/77828	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:27%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_tables4	www.w3schools.com/html/exercise7384.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:28	76826/76826	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:27%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_tables5	www.w3schools.com/html/exercisea9a0.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:28	77170/77170	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:28%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_tables6	www.w3schools.com/html/exercise5358.html	(from http://www.w3schools.com/html/html_tables.asp)
13:10:29	21347/21347	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:52:37%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_unordered	www.w3schools.com/html/tryit56b2.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:29	21386/21386	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:23:47%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_unordered_disc	www.w3schools.com/html/tryit678a.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:30	21390/21390	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:45:35%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_unordered_circle	www.w3schools.com/html/tryitfcf7.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:30	21388/21388	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:39:02%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_unordered_square	www.w3schools.com/html/tryit0e3c.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:30	21384/21384	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:28:02%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_unordered_none	www.w3schools.com/html/tryit023a.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:30	21345/21345	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:14:39%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_ordered	www.w3schools.com/html/tryit2865.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:31	21359/21359	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:04:29%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_ordered_numbers	www.w3schools.com/html/tryit1046.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:31	21359/21359	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:09:20%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_ordered_ucase	www.w3schools.com/html/tryitbc1a.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:31	21369/21369	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:09:41%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_ordered_lcase	www.w3schools.com/html/tryitbb71.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:32	21365/21365	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:56:58%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_ordered_roman_ucase	www.w3schools.com/html/tryit2272.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:32	21375/21375	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:33:56%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_ordered_roman_lcase	www.w3schools.com/html/tryitb795.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:32	21386/21386	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:57:02%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_description	www.w3schools.com/html/tryita055.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:33	21409/21409	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:11:18%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_nested	www.w3schools.com/html/tryit4479.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:33	21796/21796	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:33:49%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_lists_menu	www.w3schools.com/html/tryit0464.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:33	76088/76088	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:33%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_lists1	www.w3schools.com/html/exercise95d8.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:34	75931/75931	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:33%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_lists2	www.w3schools.com/html/exercise8adc.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:34	76178/76178	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:34%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_lists3	www.w3schools.com/html/exerciseef08.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:35	76164/76164	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:34%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_lists4	www.w3schools.com/html/exercisec984.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:36	76127/76127	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:35%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_lists5	www.w3schools.com/html/exercised330.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:36	76509/76509	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:36%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_lists6	www.w3schools.com/html/exercise046a.html	(from http://www.w3schools.com/html/html_lists.asp)
13:10:37	21667/21667	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:23:02%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_div_capitals	www.w3schools.com/html/tryit78bc.html	(from http://www.w3schools.com/html/html_blocks.asp)
13:10:37	21307/21307	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2006:55:31%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_span_red	www.w3schools.com/html/tryit1fcd.html	(from http://www.w3schools.com/html/html_blocks.asp)
13:10:38	22568/22568	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:30:05%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_classes_capitals	www.w3schools.com/html/tryitdd49.html	(from http://www.w3schools.com/html/html_classes.asp)
13:10:38	21456/21456	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:38:04%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_classes_span	www.w3schools.com/html/tryitd02a.html	(from http://www.w3schools.com/html/html_classes.asp)
13:10:38	76987/76987	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:38%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_classes1	www.w3schools.com/html/exercise37be.html	(from http://www.w3schools.com/html/html_classes.asp)
13:10:39	77392/77392	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:38%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_classes2	www.w3schools.com/html/exercise84fb.html	(from http://www.w3schools.com/html/html_classes.asp)
13:10:39	79078/79078	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:40:39%20GMT	http://www.w3schools.com/html/exercise.asp?filename=exercise_classes3	www.w3schools.com/html/exercisec88d.html	(from http://www.w3schools.com/html/html_classes.asp)
13:10:40	21311/21311	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2007:03:17%20GMT	http://www.w3schools.com/html/tryit.asp?filename=tryhtml_iframe_height_width	www.w3schools.com/html/tryitc9a6.html	(from http://www.w3schools.com/html/html_iframe.asp)
